Variables="x""dx"
Zone t="         0"
i=  65
 -1.472175254519533e+00   2.221207976488329e-01
 -1.250054456870700e+00   1.632623031548637e-01
 -1.086792153715836e+00   9.825248902050487e-02
 -9.885396646953312e-01   1.990358333323605e-02
 -9.686360813620951e-01   2.458398124983530e-02
 -9.440521001122598e-01   2.794036514320453e-02
 -9.161117349690553e-01   2.994987342452715e-02
 -8.861618615445281e-01   3.136361033721569e-02
 -8.547982512073125e-01   3.223295129847670e-02
 -8.225652999088358e-01   3.283539286056847e-02
 -7.897299070482673e-01   3.339099553917790e-02
 -7.563389115090894e-01   3.378324238616226e-02
 -7.225556691229271e-01   3.375832756886210e-02
 -6.887973415540650e-01   3.345738296197542e-02
 -6.553399585920896e-01   3.319762020411299e-02
 -6.221423383879766e-01   3.299602621443776e-02
 -5.891463121735389e-01   3.282974183279985e-02
 -5.563165703407390e-01   3.234983895006194e-02
 -5.239667313906771e-01   3.124331124599933e-02
 -4.927234201446777e-01   2.923666116943757e-02
 -4.634867589752402e-01   2.646424862479624e-02
 -4.370225103504439e-01   2.346037019682878e-02
 -4.135621401536151e-01   2.139224009103935e-02
 -3.921699000625758e-01   2.178246469589240e-02
 -3.703874353666834e-01   2.683298820175184e-02
 -3.435544471649316e-01   4.015479235847419e-02
 -3.033996548064574e-01   6.404166048940951e-02
 -2.393579943170479e-01   8.735732492318404e-02
 -1.520006693938638e-01   8.492638547946918e-02
 -6.707428391439463e-02   5.315369689458727e-02
 -1.392058701980736e-02   1.539181606997642e-02
  1.471229050169054e-03   2.048331790980140e-02
  2.195454695997046e-02   8.399441315315304e-02
  1.059489601131235e-01   1.579377269275879e-01
  2.638866870407114e-01   1.655917198263813e-01
  4.294784068670927e-01   9.933308866521773e-02
  5.288114955323104e-01   4.327841154709100e-02
  5.720899070794014e-01   2.058545194297834e-02
  5.926753590223798e-01   1.452153531720180e-02
  6.071968943395816e-01   1.542522048647788e-02
  6.226221148260595e-01   2.025406471012681e-02
  6.428761795361863e-01   2.691170266929610e-02
  6.697878822054824e-01   3.279357793827509e-02
  7.025814601437574e-01   3.586456248063341e-02
  7.384460226243909e-01   3.583818119817261e-02
  7.742842038225635e-01   3.390283259589122e-02
  8.081870364184547e-01   3.160460593447356e-02
  8.397916423529283e-01   2.970489198022341e-02
  8.694965343331517e-01   2.834684137168508e-02
  8.978433757048367e-01   2.685236890379417e-02
  9.246957446086309e-01   2.477936911425316e-02
  9.494751137228841e-01   2.162447890980546e-02
  9.710995926326895e-01   1.796707424971733e-02
  9.890666668824069e-01   1.015931585289516e-01
  1.090659825411358e+00   1.147162491370151e-01
  1.205376074548374e+00   8.653560727170473e-02
  1.291911681820078e+00   3.433508006581538e-01
  1.635262482478232e+00   2.639715391027349e-01
  1.899234021580967e+00   9.605980442955908e-02
  1.995293826010526e+00   1.797992416134875e-04
  1.995473625252139e+00   1.364513064290529e-03
  1.996838138316430e+00   3.161861683570022e-03
  2.000000000000000e+00   0.000000000000000e+00
Zone t="       102"
i=  65
 -2.000000000000000e+00   2.725693846712634e-01
 -1.727430615328737e+00   2.554318512302931e-01
 -1.471998764098444e+00   2.219830661229634e-01
 -1.250015697975480e+00   1.628013385227551e-01
 -1.087214359452725e+00   9.766056270532364e-02
 -9.895537967474014e-01   1.919736446524334e-02
 -9.703564322821581e-01   2.344102622467637e-02
 -9.469154060574817e-01   2.716687661018324e-02
 -9.197485294472985e-01   2.989500367292086e-02
 -8.898535257743776e-01   3.165179164664722e-02
 -8.582017341277304e-01   3.284152578583632e-02
 -8.253602083418941e-01   3.364841731087664e-02
 -7.917117910310174e-01   3.407970904091251e-02
 -7.576320819901049e-01   3.413580612636313e-02
 -7.234962758637418e-01   3.385832745440964e-02
 -6.896379484093321e-01   3.348130731179955e-02
 -6.561566410975326e-01   3.321297137871115e-02
 -6.229436697188214e-01   3.304302136152559e-02
 -5.899006483572958e-01   3.287902650669516e-02
 -5.570216218506007e-01   3.250705913314145e-02
 -5.245145627174592e-01   3.151759754141659e-02
 -4.929969651760426e-01   2.955715031100092e-02
 -4.634398148650417e-01   2.673795172121107e-02
 -4.367018631438306e-01   2.372191340447416e-02
 -4.129799497393565e-01   2.165103426160764e-02
 -3.913289154777488e-01   2.203191722279962e-02
 -3.692969982549492e-01   2.705777374909568e-02
 -3.422392245058535e-01   4.021674017473731e-02
 -3.020224843311162e-01   6.377084693010271e-02
 -2.382516374010135e-01   8.679313182622517e-02
 -1.514585055747884e-01   8.440736497089685e-02
 -6.705114060389150e-02   5.296375841069223e-02
 -1.408738219319927e-02   1.559758462457483e-02
  1.510202431375562e-03   2.050176845908824e-02
  2.201197089046381e-02   8.426237337329812e-02
  1.062743442637619e-01   1.580445737386581e-01
  2.643189180024200e-01   1.653378597396907e-01
  4.296567777421108e-01   9.885824107457841e-02
  5.285150188166892e-01   4.280965638501599e-02
  5.713246752017052e-01   2.011972605761203e-02
  5.914444012593172e-01   1.394631097790944e-02
  6.053907122372266e-01   1.470743015600662e-02
  6.200981423932332e-01   1.941923172716853e-02
  6.395173741204018e-01   2.618128563606970e-02
  6.656986597564715e-01   3.242254509354725e-02
